index_date;balance_of_payments_(us$_millions)
2010-01-01;2710.95356637035
2010-02-01;1870.18823565593
2010-03-01;1202.99911504683
2010-04-01;1949.8453680239
2010-05-01;2052.92027733456
2010-06-01;432.131469916083
2010-07-01;552.604358327325
2010-08-01;897.545530516632
2010-09-01;383.574560622789
2010-10-01;1582.50605589927
2010-11-01;1635.07601937771
2010-12-01;3141.79779635389
2011-01-01;3345.72484537241
2011-02-01;2656.73243567929
2011-03-01;1957.84751995885
2011-04-01;2379.80206607562
2011-05-01;2142.10892557525
2011-06-01;2491.18427305431
2011-07-01;2217.36348651338
2011-08-01;2341.29011061262
2011-09-01;2390.03742278978
2011-10-01;2158.62978466014
2011-11-01;1882.73945314049
2011-12-01;1697.21109516743
2012-01-01;1807.94508539189
2012-02-01;3312.88276301084
2012-03-01;2259.04216875121
2012-04-01;1320.50370922811
2012-05-01;1688.1908094429
2012-06-01;-1352.69857447133
2012-07-01;1823.2644215939
2012-08-01;1729.59055590533
2012-09-01;1916.55143209226
2012-10-01;1684.56809100863
2012-11-01;1199.20806699742
2012-12-01;212.015104505109
2013-01-01;-793.261591209373
2013-02-01;414.708457739733
2013-03-01;169.052072790306
2013-04-01;-750.996596586278
2013-05-01;-573.435852379625
2013-06-01;34.0339371751334
2013-07-01;-3063.31346062958
2013-08-01;-132.507301442389
2013-09-01;1447.65134007862
2013-10-01;15.4943355291331
2013-11-01;3133.41762590165
2013-12-01;865.38677446734
2014-01-01;-530.944740873029
2014-02-01;-524.841849762426
2014-03-01;-245.277273963825
2014-04-01;421.614765671818
2014-05-01;-855.595155114975
2014-06-01;-22.9630271123442
2014-07-01;280.678977881026
2014-08-01;10.2442929380446
2014-09-01;-1379.49554261335
2014-10-01;-779.281259021334
2014-11-01;-1073.28357479605
2014-12-01;-1549.43352145656
2015-01-01;289.699399376778
2015-02-01;-1353.30681986466
2015-03-01;-201.320997465643
2015-04-01;40.814888963811
2015-05-01;996.212237016636
2015-06-01;2326.65426343903
2015-07-01;1756.86715152584
2015-08-01;1752.06428573768
2015-09-01;2578.0297851798
2015-10-01;2464.33477857829
2015-11-01;2497.3743215405
2015-12-01;4746.43722823014
2016-01-01;4032.91742274043
2016-02-01;4407.24760864389
2016-03-01;3615.75667755104
2016-04-01;3987.33005677202
2016-05-01;4544.51879080417
2016-06-01;1830.9725160037
2016-07-01;3604.02447803081
2016-08-01;3526.98500254565
2016-09-01;3525.31287191426
2016-10-01;2815.79058144721
2016-11-01;5980.73437931332
2016-12-01;2878.25851141979
2017-01-01;5215.28633480194
2017-02-01;5904.52063567234
2017-03-01;5922.85810569311
2017-04-01;5287.55991725945
2017-05-01;5069.4180319425
2017-06-01;4684.73820212339
2017-07-01;4917.91965877108
2017-08-01;4416.29935816217
2017-09-01;4262.39887805606
2017-10-01;4777.15873470034
2017-11-01;3942.00649190787
2017-12-01;2838.80454286579
2018-01-01;4621.23557137555
2018-02-01;3461.79029324772
2018-03-01;5024.24758449013
2018-04-01;3482.57536701317
2018-05-01;3366.63380364404
2018-06-01;3097.46839270026
2018-07-01;2151.87427276927
2018-08-01;1246.35903686327
2018-09-01;3715.55021810364
2018-10-01;4907.32679604362
2018-11-01;4037.53338545841
2018-12-01;3991.96866057688
2019-01-01;3216.90382450155
2019-02-01;3206.65709810173
2019-03-01;2795.11623243981
2019-04-01;2761.81530169524
2019-05-01;2347.34303282816
2019-06-01;2049.70271474769
2019-07-01;-305.547635240423
2019-08-01;1137.04478198033
2019-09-01;1967.91434819083
2019-10-01;930.536258801965
2019-11-01;3173.84308531054
2019-12-01;2941.09014669388
2020-01-01;-79.9034866150241
2020-02-01;2298.31814561718
2020-03-01;2273.30333808695
2020-04-01;3557.25369076844
2020-05-01;1770.09703872689
2020-06-01;4166.80261011365
2020-07-01;5645.26158261445
2020-08-01;4619.70287971087
2020-09-01;4070.25039985457
2020-10-01;4007.75313207033
2020-11-01;3170.36145808462
2020-12-01;-3364.4618091827
2021-01-01;1195.25295030853
2021-02-01;1286.9091872251
2021-03-01;-123.211091533946
2021-04-01;7319.74940811714
2021-05-01;6059.47576861123
2021-06-01;5521.77868768354
2021-07-01;5231.20826292538
2021-08-01;5267.36033468395
2021-09-01;2269.68851824276
2021-10-01;1687.3580026523
2021-11-01;275.079035024246
