index_date,balance_of_payments_(US$_millions)
2010-03-01,-290.3002773999999
2010-04-01,319.0566535999999
2010-05-01,1545.0526473000002
2010-06-01,-3323.5847440000002
2010-07-01,288.22224600000004
2010-08-01,1938.1809240000002
2010-09-01,-2371.0373629000005
2010-10-01,2070.9615318
2010-11-01,-2297.2327348999997
2010-12-01,6586.620309
2011-01-01,-10015.3157342
2011-02-01,5784.3112697999995
2011-03-01,-429.72575099999995
2011-04-01,-97.57690960000014
2011-05-01,1394.8042130000001
2011-06-01,-733.4100739999997
2011-07-01,-2226.529881000001
2011-08-01,2035.5902530000008
2011-09-01,-1561.7199880000003
2011-10-01,95.17236300000013
2011-11-01,-1085.0082301000002
2011-12-01,5089.0760082
2012-01-01,-8445.1709851
2012-02-01,8202.078673
2012-03-01,-2736.2007679999997
2012-04-01,-1465.2109976000002
2012-05-01,3259.0287731999997
2012-06-01,-4269.9435587
2012-07-01,4248.1832222
2012-08-01,-1746.8270631000005
2012-09-01,-968.9227299999998
2012-10-01,-230.64163899999994
2012-11-01,-1022.0131890000002
2012-12-01,4322.167626
2013-01-01,-8684.970023
2013-02-01,9001.657041999999
2013-03-01,-1319.4686181950003
2013-04-01,-2580.33495461
2013-05-01,2892.6868366050003
2013-06-01,-190.57116760000008
2013-07-01,-5750.181399200001
2013-08-01,7289.770287
2013-09-01,-2306.8657510000003
2013-10-01,-3009.2784782
2013-11-01,4175.9055854
2013-12-01,-946.4614801999999
2014-01-01,-7433.976169
2014-02-01,7976.8435819999995
2014-03-01,657.5039886999998
2014-04-01,-1778.8214788999999
2014-05-01,-286.59758969999996
2014-06-01,1559.9315692999999
2014-07-01,-2529.9576494000003
2014-08-01,443.47333820000006
2014-09-01,-1660.4089744000003
2014-10-01,1720.2206062
2014-11-01,-905.918128
2014-12-01,3876.1185937400005
2015-01-01,-5454.88856148
2015-02-01,2592.95232874
2015-03-01,3466.4251443999997
2015-04-01,-3122.9052924
2015-05-01,2053.6032316
2015-06-01,-317.3641926000005
2015-07-01,-3544.0780399999994
2015-08-01,1424.4621669999997
2015-09-01,517.7511369999997
2015-10-01,-1205.7893959999997
2015-11-01,170.26979000000006
2015-12-01,5926.543571
2016-01-01,-10080.933225
2016-02-01,6593.5892140000005
2016-03-01,-316.3610339999998
2016-04-01,-926.3836750000005
2016-05-01,1165.697013
2016-06-01,-4080.325539
2016-07-01,3109.357113
2016-08-01,-1028.073069
2016-09-01,106.28207300000031
2016-10-01,-1175.2706010000002
2016-11-01,3892.3703530000003
2016-12-01,-2718.334918000001
2017-01-01,-1402.908398999999
2017-02-01,3653.3918699999995
2017-03-01,109.2053850000002
2017-04-01,-2343.2723960000003
2017-05-01,879.2664310000009
2017-06-01,-1029.949216000001
2017-07-01,-441.09959399999934
2017-08-01,48.744063999999526
2017-09-01,589.3380119999993
2017-10-01,73.29014100000131
2017-11-01,-1395.7078160000005
2017-12-01,3095.368001
2018-01-01,-3916.2094909999996
2018-02-01,2693.6106419999996
2018-03-01,3052.479276
2018-04-01,-4180.618301
2018-05-01,1243.3258110000006
2018-06-01,-761.9360680000009
2018-07-01,-1625.8313269999994
2018-08-01,649.3538339999996
2018-09-01,3868.4283080000005
2018-10-01,-1998.0971800000007
2018-11-01,-2265.2432009999993
2018-12-01,4295.278163
2019-01-01,-7852.514716060001
2019-02-01,6961.50470812
2019-03-01,-512.7568710600001
2019-04-01,-76.79670699999997
2019-05-01,-1262.5910509999999
2019-06-01,-52.76695100000006
2019-07-01,-3062.3283906
2019-08-01,4283.4080242
2019-09-01,-146.17091159999995
2019-10-01,-2453.8934982
2019-11-01,2811.8981634
2019-12-01,1243.8330677999998
2020-01-01,-10362.445895
2020-02-01,12240.1088529
2020-03-01,-2965.7629847999997
2020-04-01,1412.9894358999998
2020-05-01,-4510.211233
2020-06-01,4447.678688
2020-07-01,-2064.780643999999
2020-08-01,-2250.328453000001
2020-09-01,1009.7276949999996
2020-10-01,-99.86906199999885
2020-11-01,-1317.2842080000007
2020-12-01,-1625.97344
2021-01-01,2959.0957260000005
2021-02-01,2912.3415367
2021-03-01,-2413.1762547000003
2021-04-01,9376.5661863
2021-05-01,-10470.8791733
2021-06-01,1187.2456110000003
2021-07-01,-943.337101000001
2021-08-01,421.42582200000106
2021-09-01,-2563.0287560000006
2021-10-01,1877.6360240000004
2021-11-01,-1329.071555
